HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,,,Input.imgurl0,Input.imgurl1,Input.imgurl2,Input.imgurl3,Input.imgurl4,Input.theme0,Input.theme1,Input.theme2,Input.theme3,Input.theme4,Input.word0,Input.word1,Input.word2,Input.word3,Input.word4,Answer.comments,Answer.ques0,Answer.ques1,Answer.ques2,Answer.ques3,Answer.ques4
3YCT0L9OMM9NVXV1KXZ1M76ACA7NSU,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,317HQ483I7S1O3QZ5OAP6PWCB4KNIV,A2DWSKGD9RNKMJ,Submitted,Thu Feb 14 21:51:12 PST 2019,Thu Feb 14 22:00:02 PST 2019,Sun Feb 17 22:00:02 PST 2019,,,,530,100% (96/96),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/spring_animals/butterfly.png,https://purvaten.github.io/crowd-results/crowd-results-original-education6/education/learning.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/rock%20music_concerts_singers/rockstar.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/police%20officer_lawyer_criminal/law.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/animals/cat.png,spring-animals,education,rock music-concerts-singers,police officer-lawyer-criminal,animals,butterfly,learning,rockstar,law,cat,Let us know your thoughts..,butterfly,learning,rockstar,law,cat
3YCT0L9OMM9NVXV1KXZ1M76ACA7NSU,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,35L9RVQFCOIENYZOW74QK8NRJNYUH1,A22DDO8NILSX6O,Submitted,Thu Feb 14 21:49:53 PST 2019,Thu Feb 14 22:10:08 PST 2019,Sun Feb 17 22:10:08 PST 2019,,,,1215,100% (111/111),100% (4/4),100% (1/1),https://purvaten.github.io/crowd-results/crowd-results-original-final/spring_animals/butterfly.png,https://purvaten.github.io/crowd-results/crowd-results-original-education6/education/learning.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/rock%20music_concerts_singers/rockstar.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/police%20officer_lawyer_criminal/law.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/animals/cat.png,spring-animals,education,rock music-concerts-singers,police officer-lawyer-criminal,animals,butterfly,learning,rockstar,law,cat,Let us know your thoughts..,butterfly,learning,rockstar,law,cat
3YCT0L9OMM9NVXV1KXZ1M76ACA7NSU,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3B837J3LDOWBXFLN37LKJB79LZBSRG,A1ODGBU73JE8S,Submitted,Thu Feb 14 21:52:02 PST 2019,Thu Feb 14 21:52:36 PST 2019,Sun Feb 17 21:52:36 PST 2019,,,,34,100% (15/15),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/spring_animals/butterfly.png,https://purvaten.github.io/crowd-results/crowd-results-original-education6/education/learning.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/rock%20music_concerts_singers/rockstar.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/police%20officer_lawyer_criminal/law.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/animals/cat.png,spring-animals,education,rock music-concerts-singers,police officer-lawyer-criminal,animals,butterfly,learning,rockstar,law,cat,Let us know your thoughts..,butterfly,leapfrog,rockstar,lie,cat
3YCT0L9OMM9NVXV1KXZ1M76ACA7NSU,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3H7Z272LX773HPAI66KU2UTZSNHLP5,AGA1PIIWM8I8D,Submitted,Thu Feb 14 22:51:29 PST 2019,Thu Feb 14 23:01:34 PST 2019,Sun Feb 17 23:01:34 PST 2019,,,,605,100% (520/520),100% (3/3),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/spring_animals/butterfly.png,https://purvaten.github.io/crowd-results/crowd-results-original-education6/education/learning.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/rock%20music_concerts_singers/rockstar.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/police%20officer_lawyer_criminal/law.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/animals/cat.png,spring-animals,education,rock music-concerts-singers,police officer-lawyer-criminal,animals,butterfly,learning,rockstar,law,cat,Let us know your thoughts..,butterfly,learning,rockstar,law,cat
3SZYX62S5G0XMA53SU54XZASYBU751,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 16:56:04 PST 2019,1,BatchId:3532956,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 16:56:04 PST 2019,,,3X87C8JFV6BBLE6NQSWKELX4PDSSQY,ACSS93E03ZUGX,Submitted,Thu Feb 14 16:58:14 PST 2019,Thu Feb 14 16:59:40 PST 2019,Sun Feb 17 16:59:40 PST 2019,,,,86,100% (2940/2940),100% (2/2),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/spring_animals/butterfly.png,https://purvaten.github.io/crowd-results/crowd-results-original-education6/education/learning.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/rock%20music_concerts_singers/rockstar.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/police%20officer_lawyer_criminal/law.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/animals/cat.png,spring-animals,education,rock music-concerts-singers,police officer-lawyer-criminal,animals,butterfly,learning,rockstar,law,cat,Let us know your thoughts..,buttrail,learning,rockstar,low,cat
3OLZC0DJ8JFB9O1EHCRESMU0PF7IVE,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3E13VNJ1NNVYAWJA01CR9IJ983G1I2,A2WNW8A4MOR7T7,Submitted,Thu Feb 14 22:01:47 PST 2019,Thu Feb 14 22:10:54 PST 2019,Sun Feb 17 22:10:54 PST 2019,,,,547,100% (1586/1588),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/countries_continents_natural%20wonders/world.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/future.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/playful_cute_cuddly_animals/cat.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/food/pizza.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/phone.png,countries-continents-natural wonders,technology,playful-cute-cuddly-animals,food,technology,world,future,cat,pizza,phone,Let us know your thoughts..,WORLD,FUTURE,CAT,PIZZA,PHONE
3OLZC0DJ8JFB9O1EHCRESMU0PF7IVE,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3F6KKYWMNB1KGSADDA9EFSGZJZEDNL,AGA1PIIWM8I8D,Submitted,Thu Feb 14 22:39:59 PST 2019,Thu Feb 14 23:00:25 PST 2019,Sun Feb 17 23:00:25 PST 2019,,,,1226,100% (520/520),100% (3/3),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/countries_continents_natural%20wonders/world.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/future.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/playful_cute_cuddly_animals/cat.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/food/pizza.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/phone.png,countries-continents-natural wonders,technology,playful-cute-cuddly-animals,food,technology,world,future,cat,pizza,phone,That second one is going to drive me crazy forever. I don't have a clue.,world,potato,cat,pizza,phone
3OLZC0DJ8JFB9O1EHCRESMU0PF7IVE,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3TE3O857308ISG4P9S6ESTU5N5D2RO,A1ODGBU73JE8S,Submitted,Thu Feb 14 21:54:04 PST 2019,Thu Feb 14 21:57:14 PST 2019,Sun Feb 17 21:57:14 PST 2019,,,,190,100% (15/15),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/countries_continents_natural%20wonders/world.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/future.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/playful_cute_cuddly_animals/cat.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/food/pizza.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/phone.png,countries-continents-natural wonders,technology,playful-cute-cuddly-animals,food,technology,world,future,cat,pizza,phone,Let us know your thoughts..,world,future,cat,pizza,phone
3OLZC0DJ8JFB9O1EHCRESMU0PF7IVE,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,3UOUJI6MTDEB9OZ31BMCNUBL7DHUXU,AOOUX0906K0HG,Submitted,Thu Feb 14 21:51:51 PST 2019,Thu Feb 14 21:52:34 PST 2019,Sun Feb 17 21:52:34 PST 2019,,,,43,100% (1/1),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/countries_continents_natural%20wonders/world.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/future.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/playful_cute_cuddly_animals/cat.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/food/pizza.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/phone.png,countries-continents-natural wonders,technology,playful-cute-cuddly-animals,food,technology,world,future,cat,pizza,phone,Let us know your thoughts..,world,foloe,cat,pizza,phone
3T2HW4QDUV7MZE2BM1QWP178LI49CN,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 16:56:04 PST 2019,1,BatchId:3532956,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 16:56:04 PST 2019,,,3EICBYG644WESADEYGMB2FH0PFECJX,A1J8TVICSRC70W,Submitted,Thu Feb 14 16:56:14 PST 2019,Thu Feb 14 17:02:10 PST 2019,Sun Feb 17 17:02:10 PST 2019,,,,356,100% (131/131),0% (0/0),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-final/countries_continents_natural%20wonders/world.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/future.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/playful_cute_cuddly_animals/cat.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/food/pizza.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/technology/phone.png,countries-continents-natural wonders,technology,playful-cute-cuddly-animals,food,technology,world,future,cat,pizza,phone,Let us know your thoughts..,WORLDS,OLOPE,CAT,PIZZA,PHONE
3EAWOID6MTX02TKYDM28MIU43LR0V2,3VUPA8U9XY03TDD2ACSRXQ7J959XFU,Identify the word in the doodle,Identify the word in the doodle (a sequence of icons which resemble the letters of the word),"doodle, letters, cliparts, words, icons",$0.25,Thu Feb 14 21:48:35 PST 2019,4,BatchId:3533157,OriginalHitTemplateId:928390876,,3600,259200,Sun Feb 24 21:48:35 PST 2019,,,31UV0MXWNQCXYEKT1OE3C8WQKJKI50,A2KYOM2ZGYDJGT,Submitted,Thu Feb 14 21:51:03 PST 2019,Thu Feb 14 21:54:51 PST 2019,Sun Feb 17 21:54:51 PST 2019,,,,228,100% (18/18),100% (4/4),0% (0/0),https://purvaten.github.io/crowd-results/crowd-results-original-education6/banking_finance_support/funds.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/bat_stadium_baseball_popcorn/baseball.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/nature_plant/tree.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/candles_recipe_lip%20balm/apple.png,https://purvaten.github.io/crowd-results/crowd-results-original-final/automobile_fast%20cars/racecar.png,banking-finance-support,bat-stadium-baseball-popcorn,nature-plant,candles-recipe-lip balm,automobile-fast cars,funds,baseball,tree,apple,racecar,no idea on the last one..,funds,baseball,tree,apple,pacacap
